p.total_normA = 4096.531250
p.total_normB = 4096.532227
[info] elements obtained by MM and AMM
my kernel,cuBLAS
-30.357569, -41.179165
-98.814278, -89.927139
18.389189, 11.038900
-98.794502, -89.418663
-39.592224, -45.239349
1.619146, 9.673896
-74.944611, -70.744270
-176.617706, -172.952347
91.196442, 91.498756
3.395067, 13.247168
-25.974779, -32.868103
-97.267654, -94.486252
-39.472649, -40.094982
-97.080467, -97.620270
7.497288, 18.125906
91.592445, 101.428993
-13.022137, -18.647017
10.955777, 0.037439
-47.760532, -35.974327
-17.940836, -12.906322
73.719635, 90.625450
-31.500507, -26.056408
63.585339, 58.176052
-27.178249, -33.064106
56.966324, 59.687004
92.760651, 88.479500
54.679287, 36.845280
-56.222382, -54.670479
-136.051849, -142.249924
38.638790, 23.200344
-99.555664, -101.203125
-44.021595, -50.424877
116.630249, 105.835320
18.994724, 27.698324
-83.046898, -80.931244
-77.805443, -61.981201
-16.689407, -9.273850
-78.756447, -86.779091
5.578623, 9.666723
-88.648064, -89.526314
32.506775, 27.923355
-59.196938, -48.596588
89.241127, 91.122757
-72.831352, -69.584618
-107.271545, -105.666344
45.726353, 30.464384
73.207008, 76.299332
-27.736700, -26.240898
25.312599, 24.136435
82.257431, 80.806870
136.015717, 142.351852
77.101166, 81.215950
-38.723186, -43.745430
50.054558, 46.364326
4.478156, -1.911436
-67.590744, -65.922737
-44.063171, -46.291901
-85.006828, -87.067017
32.674957, 32.231831
-44.962830, -44.050842
47.769783, 44.999641
39.460087, 59.777069
-38.405247, -48.451584
109.137878, 125.078949
-129.882019, -128.440323
-128.393494, -131.662140
53.305954, 60.314133
11.620285, 23.979250
-54.730881, -47.980827
55.058498, 50.089821
-29.799253, -27.857328
-41.476097, -42.163536
155.509277, 157.308182
-45.132465, -42.201595
82.623810, 82.139778
-102.473381, -99.665665
-21.113600, -19.276886
-49.104950, -48.887234
-77.781174, -81.463570
-14.188362, -5.225869
-115.816368, -117.216850
-126.430138, -130.942276
23.926802, 20.743589
98.238060, 92.880035
-25.165152, 4.039428
-29.549381, -42.984383
-8.361343, -8.070089
-70.857635, -53.840420
-80.543518, -65.625031
106.820511, 103.284180
87.770271, 85.585136
51.952969, 48.860416
43.126022, 46.109863
51.490566, 43.309509
121.058685, 108.416725
-6.345777, 4.335606
47.624138, 61.326801
135.361984, 135.335938
46.434032, 37.292854
16.891441, 29.512640
-16.557438, -12.105182
41.819031, 45.445763
-97.720963, -76.708488
10.561692, 8.990239
102.285927, 88.239304
-147.157150, -144.704224
36.364529, 43.373661
-99.707382, -94.077705
6.750778, 2.619834
98.749893, 108.673096
-5.136785, -10.919897
50.769901, 54.338692
-39.449986, -42.697716
21.116232, 24.999367
29.138214, 27.260387
91.576675, 91.408783
-71.800873, -72.669327
41.623974, 41.449009
59.185200, 55.722462
54.324890, 43.957928
-90.207817, -104.484360
42.056671, 49.830925
-23.786928, -14.691851
127.400696, 114.253296
32.452465, 34.499313
-24.795326, -31.784033
-29.076010, -26.822672
69.670349, 75.002518
59.913097, 58.830635
36.498169, 34.960011
-41.597630, -48.395493
58.870342, 54.779057
-9.129272, -14.540997
3.835275, 19.606152
-133.188217, -127.294128
46.194595, 44.189186
59.960945, 48.325798
17.785946, 18.192741
8.868107, 15.805001
-9.063180, -26.575396
73.334351, 68.842903
107.096085, 111.453636
-98.400253, -93.173683
-52.483875, -60.666813
38.285358, 31.081331
-26.062305, -32.277397
110.246239, 112.305824
-22.429543, -22.808207
12.126660, 9.161664
40.101372, 49.109226
-39.422977, -43.150974
-11.287860, -24.157473
-40.068569, -37.893879
21.481970, 22.406555
36.451759, 34.706703
-33.041756, -34.552097
33.470131, 36.151344
72.023254, 62.425407
-14.028334, -16.456223
-46.243835, -46.042652
107.853279, 120.659843
-4.194491, -11.086040
-79.288681, -71.611908
-112.097244, -112.567383
71.694649, 73.667892
-10.872340, -19.144974
-36.481709, -44.911472
-8.984159, -7.928988
5.857979, -3.298679
125.778320, 113.242088
62.926773, 63.191013
-59.171074, -48.982365
125.346657, 126.229355
0.268448, -4.565805
83.614433, 95.861694
-80.061066, -88.426178
-5.695379, 16.406773
46.443996, 37.104515
6.554633, 15.259490
-73.108696, -82.278152
-45.888737, -38.528366
10.038755, 14.701746
-16.413412, -10.552228
-67.441437, -72.847580
19.383518, 24.086515
39.295555, 32.602528
10.098037, 16.351246
-61.598679, -62.321983
-53.166496, -51.045750
49.215733, 52.968372
7.603889, 10.924302
18.649271, 21.701866
6.067292, -5.018134
-95.778450, -92.826996
-49.505768, -45.055809
22.956789, 21.759146
-19.002718, -25.585953
65.128769, 65.691986
-16.399309, -7.310561
-0.697652, 14.584724
48.777565, 48.874634
53.495674, 55.307655
71.427773, 59.666718
-7.896850, -1.105081
115.214272, 122.099426
-70.573494, -64.758713
31.153547, 26.025459
46.276150, 39.400158
-51.009541, -59.700985
3.919275, -3.141483
-8.337893, -2.493350
87.792862, 96.821716
9.724103, 8.953647
-61.684174, -48.140656
-23.298437, -18.237942
-31.619865, -22.155790
82.829956, 75.462822
-150.257263, -146.119675
4.265532, 10.568089
38.026707, 40.340565
-65.374863, -68.467819
11.246320, 24.717596
37.035549, 38.109493
109.354919, 116.057205
-7.246901, -1.088755
25.217512, 26.652826
-5.820727, -4.608784
-32.631283, -41.435364
75.697807, 78.798012
-23.354910, -21.907227
21.573606, 10.590612
62.774860, 62.078701
-77.050819, -79.459099
-15.179662, -16.019728
-14.944422, -5.244958
-21.997618, -17.414629
59.155476, 71.397751
